bat_time,info_date,stock_code,stock_country,vesting_type,vesting_type_detail,stock_name,stock_market_sum,stock_share_total_num,stock_first_price,stock_foreign_share_max,stock_foreign_share_num,stock_foreign_share_percent,stock_maxprice_year,stock_lowprice_year,stock_per,stock_eps,stock_per_guess,stock_eps_guess,stock_pbr,stock_bps,stock_allocation_ratio,stock_similar_per,stock_now,stock_close,stock_open,stock_high,stock_low,stock_volume_share,stock_volume_money,stock_trading_sum_foreign,stock_trading_sum_agency,stock_trading_sum_ant,stock_agency_buy_top1,stock_agency_buy_top1_vol,stock_agency_buy_top2,stock_agency_buy_top2_vol,stock_agency_buy_top3,stock_agency_buy_top3_vol,stock_agency_buy_top4,stock_agency_buy_top4_vol,stock_agency_buy_top5,stock_agency_buy_top5_vol,stock_agency_sell_top1,stock_agency_sell_top1_vol,stock_agency_sell_top2,stock_agency_sell_top2_vol,stock_agency_sell_top3,stock_agency_sell_top3_vol,stock_agency_sell_top4,stock_agency_sell_top4_vol,stock_agency_sell_top5,stock_agency_sell_top5_vol,etc1_string,etc2_string,etc3_string,etc4_string,etc5_string,etc1_int,etc2_int,etc3_int,etc4_int,etc5_int
2021-09-12 12:39:58.519094,2021-09-10 00:00:00.000000,095570,1.0,1.0,0.0,AJ네트웍스,279060878200.0,46822295,1000,46822295,2224634,4.75,7320,3000,25.47,234,N/A,N/A,0.90,6604,3.52,18.92,5960,5960,5920,5990,5800,100966,595,+16266,-30260,13994.0,NH투자증권,17932,미래에셋대우,14124,키움증권,12728,신한금융투자,11786,제이피모간,9664,미래에셋대우,35573,신한금융투자,8914,키움증권,8235,리딩,6411,KB증권,5969,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-12 12:39:58.793296,2021-09-10 00:00:00.000000,006840,1.0,1.0,0.0,AK홀딩스,359671281150.0,13247561,5000,13247561,754719,5.70,38050,16450,N/A,-6456,N/A,N/A,0.57,47520,1.47,15.07,27150,27150,27000,27450,26700,9960,269,-1223,+12,1211.0,신한금융투자,2547,한국증권,1969,키움증권,1295,KB증권,741,삼성,680,한국증권,1525,메릴린치,1122,키움증권,1025,유진증권,949,삼성,824,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-12 12:39:59.089723,2021-09-10 00:00:00.000000,282330,1.0,1.0,0.0,BGF리테일,3128386986000.0,17283906,1000,17283906,5704421,33.00,193000,115000,22.29,8119,20.00,9125,4.36,41549,1.33,43.48,181000,181000,180000,182000,178500,12945,2330,-1369,+1736,-367.0,CS증권,1367,NH투자증권,1332,한국증권,908,삼성,886,키움증권,875,하나금융투자,2671,KB증권,2275,한국증권,1448,제이피모간,1147,NH투자증권,886,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-12 12:39:59.408932,2021-09-10 00:00:00.000000,027410,1.0,1.0,0.0,BGF,604930119120.0,95716791,1000,95716791,6254637,6.53,8090,3915,11.70,540,N/A,N/A,0.39,16072,1.74,43.48,6320,6320,6280,6420,6280,136364,865,+1463,+791,-2254.0,키움증권,26642,미래에셋대우,12971,한국증권,8550,신한금융투자,7194,KB증권,6958,키움증권,37482,삼성,16940,한국증권,16550,KB증권,12639,신한금융투자,12274,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-12 12:39:59.742410,2021-09-10 00:00:00.000000,138930,1.0,1.0,0.0,BNK금융지주,2581407148320.0,325935246,5000,325935246,127790267,39.21,8370,4935,3.82,2075,3.00,2304,0.28,27891,4.04,4.50,7920,7920,7850,7940,7780,812840,6397,+16344,+165701,-182045.0,삼성,163413,신영,100580,키움증권,58643,NH투자증권,54226,한국증권,54131,키움증권,92519,신한금융투자,84718,NH투자증권,82859,한국증권,64426,미래에셋대우,61810,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-12 12:40:00.098910,2021-09-10 00:00:00.000000,001465,1.0,1.0,0.0,BYC우,37046220000.0,215385,5000,215385,426,0.20,194500,116500,6.89,24974,N/A,N/A,0.31,554944,0.67,6.85,172000,172000,171000,172000,170000,307,52,,,-182045.0,NH투자증권,95,삼성,73,DB금융투자,50,키움증권,41,KB증권,33,DB금융투자,116,미래에셋대우,103,NH투자증권,77,키움증권,9,한국증권,2,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-12 12:40:00.391825,2021-09-10 00:00:00.000000,001460,1.0,1.0,0.0,BYC,262962915000.0,624615,5000,624615,12167,1.95,498500,204000,16.86,24974,N/A,N/A,0.76,554944,0.26,6.85,421000,421000,418000,423000,413500,92,38,-3,,-182045.0,삼성,19,NH투자증권,14,한국증권,13,유안타증권,12,미래에셋대우,12,NH투자증권,51,키움증권,15,신한금융투자,11,유안타증권,7,한국증권,3,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-12 12:40:00.667189,2021-09-10 00:00:00.000000,001045,1.0,1.0,0.0,CJ우,141489959800.0,2260223,5000,2260223,304598,13.48,67800,44300,42.79,1463,6.00,10187,0.42,148115,3.28,11.36,62600,62600,62700,62700,61900,1388,86,-100,,-182045.0,삼성,997,신한금융투자,116,키움증권,76,대신,36,KB증권,35,미래에셋대우,521,대신,502,삼성,110,신한금융투자,100,KB증권,25,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-12 12:40:01.027245,2021-09-10 00:00:00.000000,00104K,1.0,1.0,0.0,CJ4우(전환),360098822400.0,4226512,5000,4226512,308094,7.29,92400,55800,58.24,1463,8.00,10187,0.58,148115,2.35,11.36,85200,85200,85200,85200,84000,4133,349,-150,+1256,-1106.0,KB증권,1105,한국증권,614,신한금융투자,579,미래에셋대우,392,삼성,363,NH투자증권,1226,한국증권,737,메리츠,691,유안타증권,406,신한금융투자,315,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-12 12:40:01.422398,2021-09-10 00:00:00.000000,001040,1.0,1.0,0.0,CJ,3034407792000.0,29176998,5000,29176998,5141285,17.62,118500,75700,71.09,1463,10.00,10187,0.70,148115,1.92,11.36,104000,104000,103500,104500,101500,87255,9006,+10094,-5621,-4473.0,신한금융투자,16207,미래에셋대우,8556,제이피모간,7863,키움증권,6072,리딩,5511,메리츠,24241,모건스탠리,11876,미래에셋대우,8216,키움증권,8069,신한금융투자,5564,,,,,,0.0,0.0,0.0,0.0,0.0
