bat_time,info_date,stock_code,stock_country,vesting_type,vesting_type_detail,stock_name,stock_market_sum,stock_share_total_num,stock_first_price,stock_foreign_share_max,stock_foreign_share_num,stock_foreign_share_percent,stock_maxprice_year,stock_lowprice_year,stock_per,stock_eps,stock_per_guess,stock_eps_guess,stock_pbr,stock_bps,stock_allocation_ratio,stock_similar_per,stock_now,stock_close,stock_open,stock_high,stock_low,stock_volume_share,stock_volume_money,stock_trading_sum_foreign,stock_trading_sum_agency,stock_trading_sum_ant,stock_agency_buy_top1,stock_agency_buy_top1_vol,stock_agency_buy_top2,stock_agency_buy_top2_vol,stock_agency_buy_top3,stock_agency_buy_top3_vol,stock_agency_buy_top4,stock_agency_buy_top4_vol,stock_agency_buy_top5,stock_agency_buy_top5_vol,stock_agency_sell_top1,stock_agency_sell_top1_vol,stock_agency_sell_top2,stock_agency_sell_top2_vol,stock_agency_sell_top3,stock_agency_sell_top3_vol,stock_agency_sell_top4,stock_agency_sell_top4_vol,stock_agency_sell_top5,stock_agency_sell_top5_vol,etc1_string,etc2_string,etc3_string,etc4_string,etc5_string,etc1_int,etc2_int,etc3_int,etc4_int,etc5_int
2021-09-15 20:14:30.728332,2021-09-15 00:00:00.000000,095570,1.0,1.0,0.0,AJ네트웍스,280933770000.0,46822295,1000,46822295,2273697,4.86,7320,3050,25.64,234,N/A,N/A,0.91,6604,3.50,19.01,6000,6000,6040,6050,5930,60259,359,-10374,-24839,35213.0,미래에셋대우,20817,NH투자증권,8358,KB증권,7534,키움증권,7360,삼성,4794,KB증권,12521,키움증권,7983,리딩,7567,메릴린치,6308,신한금융투자,3810,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-15 20:14:30.995158,2021-09-15 00:00:00.000000,006840,1.0,1.0,0.0,AK홀딩스,364970305550.0,13247561,5000,13247561,752859,5.68,38050,16450,N/A,-6456,N/A,N/A,0.58,47520,1.45,15.21,27550,27550,27800,27850,27250,16150,445,-2910,+414,2496.0,한국증권,2595,삼성,2586,키움증권,2116,NH투자증권,1898,미래에셋대우,1624,KB증권,3396,신한금융투자,1967,한국증권,1792,NH투자증권,1671,삼성,1576,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-15 20:14:31.263680,2021-09-15 00:00:00.000000,282330,1.0,1.0,0.0,BGF리테일,3102461127000.0,17283906,1000,17283906,5722520,33.11,193000,115000,22.11,8119,20.00,9069,4.32,41549,1.34,43.97,179500,179500,178000,182000,177000,30993,5574,+4037,+9582,-13619.0,유화,9833,제이피모간,3059,모건스탠리,2549,CS증권,1885,신한금융투자,1766,삼성,12236,맥쿼리,4362,한국증권,1897,미래에셋대우,1809,KB증권,1656,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-15 20:14:31.515279,2021-09-15 00:00:00.000000,027410,1.0,1.0,0.0,BGF,596315607930.0,95716791,1000,95716791,6244047,6.52,8090,3915,11.54,540,N/A,N/A,0.39,16072,1.77,43.97,6230,6230,6270,6270,6180,120501,749,+10579,-2825,-7754.0,키움증권,29744,신한금융투자,14381,NH투자증권,9898,에스지,9047,한국증권,7916,키움증권,61122,NH투자증권,17962,에스지,9047,삼성,8700,한국증권,6344,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-15 20:14:31.807827,2021-09-15 00:00:00.000000,138930,1.0,1.0,0.0,BNK금융지주,2623778730300.0,325935246,5000,325935246,128463998,39.41,8370,4935,3.88,2075,3.00,2304,0.29,27891,3.97,4.58,8050,8050,8010,8100,7990,1152837,9289,-150157,-553,150710.0,미래에셋대우,279596,신한금융투자,106748,NH투자증권,93577,모건스탠리,89816,키움증권,85653,비엔피,162483,미래에셋대우,161596,키움증권,91735,신한금융투자,83372,제이피모간,82903,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-15 20:14:32.084611,2021-09-15 00:00:00.000000,001465,1.0,1.0,0.0,BYC우,38876992500.0,215385,5000,215385,426,0.20,194500,116500,7.23,24974,N/A,N/A,0.33,554944,0.64,7.08,180500,180500,181000,184500,180500,716,130,,,150710.0,미래에셋대우,394,KB증권,100,키움증권,83,신한금융투자,36,대신,22,NH투자증권,420,한국증권,80,미래에셋대우,62,SK,42,대신,27,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-15 20:14:32.337797,2021-09-15 00:00:00.000000,001460,1.0,1.0,0.0,BYC,282950595000.0,624615,5000,624615,11926,1.91,498500,204000,18.14,24974,N/A,N/A,0.82,554944,0.24,7.08,453000,453000,438500,454500,438000,1787,806,+256,+966,-1222.0,NH투자증권,390,미래에셋대우,295,케이프증권,247,유진증권,246,KB증권,152,NH투자증권,647,미래에셋대우,265,키움증권,207,SK,202,삼성,118,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-15 20:14:32.565492,2021-09-15 00:00:00.000000,001045,1.0,1.0,0.0,CJ우,142620071300.0,2260223,5000,2260223,304274,13.46,67800,44300,43.13,1463,6.00,10187,0.43,148115,3.25,11.66,63100,63100,63000,63400,62700,1159,73,-47,+390,-343.0,한국증권,471,유진증권,254,키움증권,163,흥국증권,137,삼성,43,삼성,642,미래에셋대우,103,대신,100,한국증권,74,키움증권,57,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-15 20:14:32.997914,2021-09-15 00:00:00.000000,00104K,1.0,1.0,0.0,CJ4우(전환),352068449600.0,4226512,5000,4226512,203991,4.83,92400,55800,56.94,1463,8.00,10187,0.56,148115,2.40,11.66,83300,83300,83000,83700,82300,5932,493,+34,+3318,-3352.0,NH투자증권,1650,신한금융투자,1570,한국증권,727,미래에셋대우,708,유안타증권,516,미래에셋대우,1358,한국증권,1017,NH투자증권,810,삼성,482,KB증권,455,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-15 20:14:33.353638,2021-09-15 00:00:00.000000,001040,1.0,1.0,0.0,CJ,3063584790000.0,29176998,5000,29176998,5171516,17.72,118500,75700,71.77,1463,10.00,10187,0.71,148115,1.90,11.66,105000,105000,106000,107000,104500,70411,7416,-141,-5363,5504.0,미래에셋대우,9040,키움증권,5692,CS증권,5536,제이피모간,5049,삼성,4933,한국증권,9751,NH투자증권,6955,키움증권,6439,미래에셋대우,6382,하나금융투자,6032,,,,,,0.0,0.0,0.0,0.0,0.0
