bat_time,info_date,stock_code,stock_country,vesting_type,vesting_type_detail,stock_name,stock_market_sum,stock_share_total_num,stock_first_price,stock_foreign_share_max,stock_foreign_share_num,stock_foreign_share_percent,stock_maxprice_year,stock_lowprice_year,stock_per,stock_eps,stock_per_guess,stock_eps_guess,stock_pbr,stock_bps,stock_allocation_ratio,stock_similar_per,stock_now,stock_close,stock_open,stock_high,stock_low,stock_volume_share,stock_volume_money,stock_trading_sum_foreign,stock_trading_sum_agency,stock_trading_sum_ant,stock_agency_buy_top1,stock_agency_buy_top1_vol,stock_agency_buy_top2,stock_agency_buy_top2_vol,stock_agency_buy_top3,stock_agency_buy_top3_vol,stock_agency_buy_top4,stock_agency_buy_top4_vol,stock_agency_buy_top5,stock_agency_buy_top5_vol,stock_agency_sell_top1,stock_agency_sell_top1_vol,stock_agency_sell_top2,stock_agency_sell_top2_vol,stock_agency_sell_top3,stock_agency_sell_top3_vol,stock_agency_sell_top4,stock_agency_sell_top4_vol,stock_agency_sell_top5,stock_agency_sell_top5_vol,etc1_string,etc2_string,etc3_string,etc4_string,etc5_string,etc1_int,etc2_int,etc3_int,etc4_int,etc5_int
2021-09-16 20:14:38.279641,2021-09-16 00:00:00.000000,095570,1.0,1.0,0.0,AJ네트웍스,284211330650.0,46822295,1000,46822295,2263323,4.83,7320,3050,25.94,234,N/A,N/A,0.92,6604,3.46,19.15,6070,6070,6000,6170,5930,142080,857,+63320,-6288,-57032.0,미래에셋대우,33011,한국증권,19514,제이피모간,19048,신한금융투자,18854,CS증권,15897,NH투자증권,37879,신한금융투자,14388,대신,13408,삼성,12782,키움증권,12747,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-16 20:14:38.520394,2021-09-16 00:00:00.000000,006840,1.0,1.0,0.0,AK홀딩스,360996037250.0,13247561,5000,13247561,749949,5.66,38050,16450,N/A,-6456,N/A,N/A,0.57,47520,1.47,15.17,27250,27250,27900,27900,27100,11713,320,-5359,+24,5335.0,삼성,3674,미래에셋대우,1272,키움증권,1228,하나금융투자,1214,한국증권,1062,한국증권,3036,삼성,1723,키움증권,1301,에스지,797,신한금융투자,761,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-16 20:14:38.759840,2021-09-16 00:00:00.000000,282330,1.0,1.0,0.0,BGF리테일,3016041597000.0,17283906,1000,17283906,5727157,33.14,193000,115000,21.49,8119,19.00,9069,4.20,41549,1.38,43.64,174500,174500,178500,179500,172500,32430,5669,-1882,-14394,16276.0,미래에셋대우,6562,삼성,4174,키움증권,3453,CLSA,3164,NH투자증권,2304,삼성,6502,신한금융투자,3732,씨티그룹,2596,대신,2450,부국,2447,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-16 20:14:38.998221,2021-09-16 00:00:00.000000,027410,1.0,1.0,0.0,BGF,591529768380.0,95716791,1000,95716791,6254626,6.53,8090,3915,11.44,540,N/A,N/A,0.38,16072,1.78,43.64,6180,6180,6260,6260,6100,183968,1133,+1548,-208,-1340.0,키움증권,68845,미래에셋대우,14334,제이피모간,11274,KB증권,10631,한국증권,9261,키움증권,41963,DB금융투자,35032,삼성,29094,NH투자증권,23486,메릴린치,9931,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-16 20:14:39.225659,2021-09-16 00:00:00.000000,138930,1.0,1.0,0.0,BNK금융지주,2623778730300.0,325935246,5000,325935246,128313841,39.37,8370,4935,3.88,2075,3.00,2304,0.29,27891,3.97,4.58,8050,8050,8150,8150,8000,856515,6896,+176708,-181582,4874.0,신한금융투자,138168,제이피모간,88436,키움증권,88380,미래에셋대우,86713,NH투자증권,64428,키움증권,138651,미래에셋대우,114028,신한금융투자,95064,삼성,93000,한국증권,91459,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-16 20:14:39.472496,2021-09-16 00:00:00.000000,001465,1.0,1.0,0.0,BYC우,38876992500.0,215385,5000,215385,426,0.20,194500,116500,7.23,24974,N/A,N/A,0.33,554944,0.64,7.04,180500,180500,182000,182000,180000,118,21,,,4874.0,신한금융투자,31,키움증권,22,브릿지증권,20,미래에셋대우,17,NH투자증권,12,키움증권,70,SK,25,신한금융투자,16,삼성,5,DB금융투자,1,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-16 20:14:39.698383,2021-09-16 00:00:00.000000,001460,1.0,1.0,0.0,BYC,282950595000.0,624615,5000,624615,12182,1.95,498500,204000,18.14,24974,N/A,N/A,0.82,554944,0.24,7.04,453000,453000,454500,455500,448500,417,189,-158,+236,-78.0,미래에셋대우,121,신영,100,키움증권,48,HI증권,40,DB금융투자,20,한국증권,70,미래에셋대우,63,신한금융투자,47,메릴린치,43,DB금융투자,41,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-16 20:14:39.918283,2021-09-16 00:00:00.000000,001045,1.0,1.0,0.0,CJ우,141037915200.0,2260223,5000,2260223,304227,13.46,67800,44300,42.65,1463,6.00,10187,0.42,148115,3.29,11.72,62400,62400,62800,62900,62100,794,49,-39,,-78.0,한국증권,224,삼성,129,대신,127,키움증권,122,KB증권,50,하나금융투자,250,대신,100,신한금융투자,91,키움증권,86,한화,80,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-16 20:14:40.135566,2021-09-16 00:00:00.000000,00104K,1.0,1.0,0.0,CJ4우(전환),348687240000.0,4226512,5000,4226512,206025,4.87,92400,55800,56.39,1463,8.00,10187,0.56,148115,2.42,11.72,82500,82500,82600,83700,82300,3845,317,-760,+390,370.0,신한금융투자,837,KB증권,667,NH투자증권,620,키움증권,488,한국증권,297,키움증권,1289,메리츠,650,메릴린치,300,이베스트,284,한국증권,273,,,,,,0.0,0.0,0.0,0.0,0.0
2021-09-16 20:14:40.390020,2021-09-16 00:00:00.000000,001040,1.0,1.0,0.0,CJ,3005230794000.0,29176998,5000,29176998,5172116,17.73,118500,75700,70.40,1463,10.00,10187,0.70,148115,1.94,11.72,103000,103000,106000,106000,103000,63901,6629,+2077,-10632,8555.0,미래에셋대우,13177,키움증권,9466,CS증권,8549,한국증권,6486,제이피모간,6243,미래에셋대우,10803,신한금융투자,9173,삼성,8315,키움증권,6887,한국증권,4895,,,,,,0.0,0.0,0.0,0.0,0.0
