bat_time,info_date,ifrs_date,stock_code,stock_country,ifrs_type,vesting_type,vesting_type_detail,stock_name,stock_revenue,operating_income,net_income,operating_income_ratio,income_ratio,roe,debt_ratio,quick_ratio,reserve_ratio,stock_eps,stock_per,stock_bps,stock_pbr,dividend_per_share,dividend_yield_ratio,dividend_payout_ratio,etc1_string,etc2_string,etc3_string,etc1_int,etc2_int,etc3_int
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2018-12-01 00:00:00.000000,282330,1,1,1,0.0,BGF리테일,57759,1895,1542,3.28,2.67,33.88,184.20,77.61,2788.51,8921,22.87,30198,6.76,2680,1.31,30.03,,,,0.0,0.0,0.0
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2019-12-01 00:00:00.000000,282330,1,1,1,0.0,BGF리테일,59461,1966,1514,3.31,2.55,26.46,248.93,68.71,3372.48,8758,19.35,36040,4.70,2700,1.59,30.81,,,,0.0,0.0,0.0
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2020-12-01 00:00:00.000000,282330,1,1,1,0.0,BGF리테일,61813,1622,1227,2.62,1.98,18.60,240.28,70.52,3803.31,7100,19.09,40337,3.36,2400,1.77,33.79,,,,0.0,0.0,0.0
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2021-12-01 00:00:00.000000,282330,1,1,1,0.0,BGF리테일,67339,2022,1562,3.00,2.32,20.68,,,,9069,19.79,47403,3.79,2608,,,,,,0.0,0.0,0.0
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2020-06-01 00:00:00.000000,282330,1,2,1,0.0,BGF리테일,15492,446,330,2.88,2.13,22.28,261.99,50.41,3361.75,1912,18.55,35933,3.87,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2020-09-01 00:00:00.000000,282330,1,2,1,0.0,BGF리테일,16827,636,515,3.78,3.06,20.70,264.14,68.36,3659.28,2980,16.31,38910,3.17,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2020-12-01 00:00:00.000000,282330,1,2,1,0.0,BGF리테일,15563,356,262,2.28,1.68,18.60,240.28,70.52,3803.31,1514,19.09,40337,3.36,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2021-03-01 00:00:00.000000,282330,1,2,1,0.0,BGF리테일,15012,216,159,1.44,1.06,20.11,260.75,67.20,3654.59,918,21.57,38849,4.07,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2021-06-01 00:00:00.000000,282330,1,2,1,0.0,BGF리테일,17004,586,468,3.45,2.75,20.97,256.55,50.91,3924.43,2707,22.11,41549,4.32,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:04.541288,2021-09-16 00:00:00.000000,2021-09-01 00:00:00.000000,282330,1,2,1,0.0,BGF리테일,18294,739,573,4.04,3.13,,,,,3417,52.52,,,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2018-12-01 00:00:00.000000,138930,1,1,1,0.0,BNK금융지주,50986,7498,5381,14.71,10.55,6.84,1072.63,,416.99,1540,4.76,23401,0.31,300,4.09,19.47,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2019-12-01 00:00:00.000000,138930,1,1,1,0.0,BNK금융지주,52795,8069,5989,15.28,11.34,7.07,1038.62,,463.39,1725,4.44,25416,0.30,360,4.70,20.87,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2020-12-01 00:00:00.000000,138930,1,1,1,0.0,BNK금융지주,52124,7482,5626,14.35,10.79,6.11,1085.89,,491.12,1593,3.56,26905,0.21,320,5.63,19.99,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2021-12-01 00:00:00.000000,138930,1,1,1,0.0,BNK금융지주,,10579,7783,,,8.33,,,,2304,3.49,28682,0.28,490,,,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2020-06-01 00:00:00.000000,138930,1,2,1,0.0,BNK금융지주,11742,2354,1840,20.04,15.67,6.30,1073.18,,483.68,531,3.12,26531,0.19,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2020-09-01 00:00:00.000000,138930,1,2,1,0.0,BNK금융지주,11215,1914,1474,17.07,13.14,5.67,1058.19,,488.46,419,3.43,26771,0.19,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2020-12-01 00:00:00.000000,138930,1,2,1,0.0,BNK금융지주,17396,1155,827,6.64,4.75,6.11,1085.89,,491.12,221,3.56,26905,0.21,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2021-03-01 00:00:00.000000,138930,1,2,1,0.0,BNK금융지주,12054,2627,2035,21.80,16.89,6.67,1135.43,,495.30,591,3.85,27115,0.25,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2021-06-01 00:00:00.000000,138930,1,2,1,0.0,BNK금융지주,13142,3739,2861,28.45,21.77,7.66,1160.14,,510.74,845,3.72,27891,0.28,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:05.025745,2021-09-16 00:00:00.000000,2021-09-01 00:00:00.000000,138930,1,2,1,0.0,BNK금융지주,,2953,2178,,,,,,,638,12.62,,,,,,,,,0.0,0.0,0.0
2021-09-16 19:31:05.841198,2021-09-16 00:00:00.000000,2018-12-01 00:00:00.000000,00104K,1,1,1,0.0,CJ4우(전환),295234,13325,8800,4.51,2.98,6.91,153.39,58.82,2741.67,7741,15.70,125257,0.97,,,22.50,,,,0.0,0.0,0.0
